stage,wellplate,wells,Locations
my_stage ,0,I13,my_stage 0 I13
my_stage ,0,J13,my_stage 1 J13
my_stage ,0,K13,my_stage 2 K13
my_stage ,0,L13,my_stage 3 L13
my_stage ,0,M13,my_stage 4 M13
my_stage ,0,N13,my_stage 5 N13
