stage,wellplate,wells,Locations
my_stage ,0,H8,my_stage 0 H8
my_stage ,0,H9,my_stage 0 H9
my_stage ,0,H10,my_stage 0 H10
my_stage ,0,H11,my_stage 0 H11
my_stage ,0,H12,my_stage 0 H12
my_stage ,0,I8,my_stage 0 I8
my_stage ,0,I9,my_stage 0 I9
my_stage ,0,I10,my_stage 0 I10
my_stage ,0,I11,my_stage 0 I11
my_stage ,0,I12,my_stage 0 I12
my_stage ,0,J8,my_stage 0 J8
my_stage ,0,J9,my_stage 0 J9
my_stage ,0,J10,my_stage 0 J10
my_stage ,0,J11,my_stage 0 J11
my_stage ,0,J12,my_stage 0 J12
my_stage ,0,K8,my_stage 0 K8
my_stage ,0,K9,my_stage 0 K9
my_stage ,0,K10,my_stage 0 K10
my_stage ,0,K11,my_stage 0 K11
my_stage ,0,K12,my_stage 0 K12
my_stage ,0,L8,my_stage 0 L8
my_stage ,0,L9,my_stage 0 L9
my_stage ,0,L10,my_stage 0 L10
my_stage ,0,L11,my_stage 0 L11
my_stage ,0,L12,my_stage 0 L12
my_stage ,0,M8,my_stage 0 M8
my_stage ,0,M9,my_stage 0 M9
my_stage ,0,M10,my_stage 0 M10
my_stage ,0,M11,my_stage 0 M11
my_stage ,0,M12,my_stage 0 M12
my_stage ,0,N8,my_stage 0 N8
my_stage ,0,N9,my_stage 0 N9
my_stage ,0,N10,my_stage 0 N10
my_stage ,0,N11,my_stage 0 N11
my_stage ,0,N12,my_stage 0 N12
